tic_id,toi_id,Disposition,RA,Dec,Tmag,Epoc,Period,Duration,Transit_Depth,Sectors,star_rad,teff,SN,camera,ccd,star_mass,Qingress,logg
241196395,1784.01,PC,153.549855906831,29.0855693229949,9.61433,1871.71008007125,2.09357834396071,0.853000385470262,2339.7492238079,21,1.22538,6435.69,15.662501,1,2,7.959844013204972,0.07479652167491291,4.411484796305752
39699648,1778.01,PC,136.778074042676,46.6726009114454,8.4594,1876.02502298904,6.51595066707795,2.53343092705777,434.584346788962,21,1.32944,6023.0,10.820062,3,2,2.467419281849674,0.21312504346577965,2.4236119157806533
437560683,3012.01,PC,141.4166109,-54.8412352,13.756,1593.9319714,3.0918287,3.394,9610.0,9,,5804.0,12.0,1,3,3.3891356478334016,-1.237520895467539,2.342526675114185
311441461,3739.01,PC,86.6359135,51.24262,13.107,1839.0650027,3.4483992,3.709,9290.0,19,1.68,6083.0,23.0,1,3,4.857051049181735,-1.3345525601975226,3.1506924099166826
287225295,1769.01,PC,144.0004616,51.607577,9.482,1871.39645,0.60987,0.387,550.0,21,0.89,5493.0,16.0,2,3,6.899728991500796,-0.28322781563647514,1.3668171158287015
149577217,1850.01,PC,195.7620265,21.9230836,10.626,1931.03559,7.39143,1.252,5880.0,23,1.14,5224.6,39.0,1,2,1.7967974646353597,0.23938748993982695,3.151381020698967
378976682,1851.01,PC,197.748916,6.6866641,13.137,1930.4864,6.01815,1.296,13310.0,23,0.76,4567.0,13.0,2,1,2.1182174849990005,-0.6670237903235968,4.807259544981621
157225097,1854.01,PC,206.8454618,19.7586137,13.038,1931.88185,2.52618,1.945,15850.0,23,0.87,4836.0,25.0,2,3,4.7385872825966695,0.5846432714092664,2.2440918814416166
81247740,1855.01,PC,205.3542843,17.6872195,10.65,1929.44256,1.36416,1.122,6740.0,23,1.08,5347.0,54.0,3,1,7.227456824924448,0.28339130864346296,3.4081869755249383
424733642,1858.01,PC,199.4127122,22.8500868,12.878,1932.01484,2.09098,1.272,19280.0,23,0.77,4220.9,43.0,3,3,6.508912082526211,-0.3063298442516498,1.6247674835717776
47094691,3638.01,PC,23.4427288,17.8266344,12.593,1785.2855608,4.9258489,1.355,12870.0,17,1.15,5263.0,9.0,3,3,1.7825494599713245,0.47326150854721516,2.8036112677555374
251209368,2789.01,PC,95.4753533,-4.3215272,13.063,2209.0222234,3.0071496,4.461,3310.0,6,1.45,5906.0,9.0,1,2,6.217135000967011,0.2599944952213451,1.1994678909563925
398912927,3626.01,PC,18.5539861,19.4703972,10.815,1766.7904023,19.8875338,1.34,3020.0,17,1.57,5856.2,10.0,2,1,6.747802486663278,-1.0526588834746187,4.649844201770144
50943163,3672.01,PC,41.9041927,61.3063589,11.235,1810.7504718,2.4254068,3.323,1910.0,18,2.51,8290.0,13.0,2,3,4.904851302803378,0.5783992660254178,3.0055872336469807
458876004,3677.01,PC,35.8378019,60.8899754,11.981,1814.4252119,3.6923071,1.139,14130.0,18,1.1,8469.0,36.0,3,3,1.4167309540754414,0.14722413040817006,3.155120519703412
240959810,3691.01,PC,18.7730768,53.1177096,12.677,1812.00456,3.3414552,3.449,10250.0,18,1.3,6702.0,25.0,1,2,7.63158111880339,-0.06347701499386837,3.4452481492159595
165723070,3907.01,PC,231.2500476,57.8150738,12.853,1953.6813878,1.7213505,2.127,11600.0,15,0.95,5072.0,77.0,1,3,1.3772755866059785,-0.6380786797777437,1.4778261754962525
81247877,3915.01,PC,205.4888819,17.2999142,12.366,1953.2705126,2.2013759,2.238,25630.0,23,0.81,5177.8,92.0,2,1,6.169895559888789,-0.08540950886692578,3.445734686204203
83148519,4001.01,PC,2.5285665,64.5725982,11.719,1973.5700234,4.8983933,2.734,2130.0,17,1.09,5696.0,14.0,1,1,0.7995920751230828,-0.058856038579359726,4.094781118756087
159334269,4068.01,PC,233.6948264,79.4498027,13.367,2008.7617461,1.1578392,1.363,9660.0,14,1.18,6409.0,45.0,2,2,4.971867930793552,-1.4287165782736715,1.7264732595414953
371711170,4143.01,PC,70.1002771,81.0772919,12.116,2015.2478976,9.8482192,4.24,1670.0,17,3.31,6126.0,9.0,3,3,4.303425312528504,-1.3806546672163154,3.0975238990351985
47384844,1022.01,PC,162.96496,-5.788634,8.691,1547.448,3.09574,4.475,380.0,9,1.41,6084.0,9.0,2,3,6.905218611899941,-0.6885229812040093,4.437841226247439
339733013,417.01,PC,110.852026,-58.696747,10.038,1328.3763,5.62145,2.192,670.039,4,1.27,5834.2,15.0,2,1,5.255205667132357,-1.1083546482588054,4.902505895633171
